1	What did the fish say when it hit the wall? Dam.	Aus welchem Land kommen Schornsteinfeger? Aus Rußland!
2	How do you make a tissue dance? You put a little boogie on it.	"Beim Zahnarzt: ""Das kann jetzt ein bisschen weh tun."" - ""Kein Problem."" - ""Ich hab seit 3 Jahren ein Verhältnis mit Ihrer Frau."""
3	What's Forrest Gump's password? 1Forrest1	Brennholzverleih.
4	What do you call a belt made out of watches? A waist of time.	Der Pfannkuchenbäcker ist an seinem eigenen Teig erstickt. Einfach crepiert.
5	Why can't bicycles stand on their own? They are two tired	Egal wie gut Du fährst, Züge fahren Güter.
6	How does a train eat? It goes chew, chew	Ein Besoffener beschimpft und beleidigt ein Helium. Und was macht es? Es reagiert nicht.
7	What do you call a singing Laptop A Dell	Ein Gockel bekommt eine Blasterpistole. Aus versehen bringt er damit alle Hühner um. Da ist der Hahn Solo.
8	How many lips does a flower have? Tulips	Einbruch bei Adidas. Was schickt die Polizei? Drei Streifen.
9	How do you organize an outer space party? You planet	"Fliegt ein Kuckuck übers Meer. Grüßt ihn ein Hai: ""Hi!"" - ""Kuckuck!"""
10	What kind of shoes does a thief wear? Sneakers	Fragt der Polizist: Haben sie Restalkohol? - Nee, alles ausgetrunken.
11	What's the best time to go to the dentist? Tooth hurty.	"Gehen zwei Zahnstocher durch den Wald. Kommt ein Igel vorbei. Sagt der eine Zahnstocher: ""Ich wusste gar nicht, dass hier ein Bus fährt."""
12	Did you hear about the two silk worms in a race? It ended in a tie.	Geht ein Cowboy zum Friseur. Als er wieder rauskommt ist sein Pony weg.
13	What do you call a laughing motorcycle? A Yamahahahaha.	"Geht eine schwangere Frau zum Bäcker und sagt: ""Ich bekomme ein Brot."""
14	A termite walks into a bar and says... 'Where is the bar tended?'	Huch, meine Uhr ist runter gefallen. Ich kann sie nicht aufheben. - Ich hab kein Uhrheberrecht.
15	What does C.S. Lewis keep at the back of his wardrobe? Narnia business!	Hüpft ein Rudel Gurken durch den Wald. Was ist falsch? Gurken sind keine Rudeltiere.
16	What did the duck say when he bought lipstick? Put it on my bill	Ich bin so unentschlossen. Als japanischer Krieger wäre ich ein Nunja.
17	What happens to a frog's car when it breaks down? It gets toad away	Ich brauche eine Krankschreibung? Was fehlt ihnen denn? Eine Krankschreibung.
18	did you know the first French fries weren't cooked in France? they were cooked in Greece	Ich habe bei den Weight Watchers angerufen: Aber keine hat abgenommen.
19	Why did the mushroom get invited to the party? Because he was a fungi.	Ich habe bei einem Brötchen angerufen, aber: War belegt.
20	Why did the mushroom get invited to the party? Because he was a fungi.	Ich habe bei nem DJ angerufen: Der hat einfach aufgelegt.
21	I'm reading a book about anti-gravity... It's impossible to put down	Ich habe bei Spiderman angerufen, aber der hatte kein Netz.
22	If you're American when you go into the bathroom, and American when you come out, what are you when you're in there? European	Ich habe beim Arzt angerufen: Ich wurde aber nicht verbunden.
23	Want to hear a joke about a piece of paper? Never mind...it's tearable	Ich habe beim Bäcker angerufen, da ging aber nur die Mehlbox ran.
24	I just watched a documentary about beavers. It was the best dam show I ever saw	Ich habe beim Metzger angerufen, aber kein Schwein ging ran.
25	If you see a robbery at an Apple Store... Does that make you an iWitness?	Ich habe das Herz eines Löwen ... und lebenslanges Verbot im Leipziger Zoo.
26	A ham sandwhich walks into a bar and orders a beer. The bartender says... I'm sorry, we don't serve food here	Ich habe einem Hipster ans Schienbein getreten. Jetzt hopster.
27	Why did the Clydesdale give the pony a glass of water? Because he was a little horse	Ich habe einen total lieben Hund, der ist so ruhig - der hat sogar den No-Bell preis gewonnen.
28	If you boil a clown... Do you get a laughing stock?	Ich habe in der Botschaft angerufen, aber keiner ging ran. War wohl Kanada.
29	Finally realized why my plant sits around doing nothing all day... He loves his pot.	Ich habe meiner Frau zu Weihnachten einen Nerz geschenkt und jetzt weigert sie sich, das Tier zu füttern.
30	Don't look at the eclipse through a colander. You'll strain your eyes.	Ich wollte einen Witz über die Deutsche Bahn machen, aber ich wusste nicht ob der ankommt.
31	I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!	Im Restaurant: Isst Du gerne wild? - Nein, ganz normal und langsam.
32	Why do chicken coops only have two doors? Because if they had four, they would be chicken sedans	In Mittelamerika gibt es kaum gute Tapezierer - aber dafür Guatemala!
33	What do you call a factory that sells passable products? A satisfactory	In St. Pauli wurde gestern ein Sarg gefunden. Aber der ging und ging nicht auf. War wohl ein Zuhälter drin?
34	When a dad drives past a graveyard: Did you know that's a popular cemetery? Yep, people are just dying to get in there	In welchem Land ist man so langsam wie eine Schnecke? In Kriechenland.
35	Why did the invisible man turn down the job offer? He couldn't see himself doing it	"Kommt ein Dachdecker in eine Bar. - Sagt der Wirt: ""Der geht aufs Haus."""
36	How do you make holy water? You boil the hell out of it	"Kommt ein Frosch in den Milchladen. Fragt die Verkäuferin: ""Was willst du denn?"" - Sagt der Frosch: ""Quak."""
37	I had a dream that I was a muffler last night. I woke up exhausted!	"Kommt ein Igel in die Konditorei: ""Einmal Rumkugeln bitte"" -- Wenn sie wollen, wir haben gerade frisch gewischt."
38	Why is peter pan always flying? Because he neverlands	"Kommt ein Pferd in den Blumenladen: ""Haben sie Mageriten?"" (ma' geritten)"
39	What do you call a cow with no legs? Ground beef!	"Mein Arzt hat eine südamerikanische Augenkrankheit bei mir diagnostiziert - ich ""Chile""."
40	I dropped a pear in my car this morning. You should drop another one, then you would have a pair.	Mein Hund ein echter Charmeur. Immer wenn ich ihn fragt: Na wie sehe ich aus, sagt er: Wau!
41	Lady: How do I spread love in this cruel world? Random Dude: [...??]	Mir ist kalt - ich geh mal in die Ecke. Da sind 90 Grad.
42	What do you call sad coffee? Despresso.	Neulich im Tatort: Wo waren Sie zur Tatzeit? - Im Internet!
43	Why did the butcher work extra hours at the shop? To make ends meat.	"Papa, in Ägypten ist nächste Woche auch keine Schule!"" -- ""Ok?"" -- ""Ja, die haben da Sphinxferien!"""
44	Did you hear about the hungry clock? It went back four seconds.	"Sagt der Pessimist: ""Schlimmer geht nicht!"" - Sagt der Optimist: ""Doch!"""
45	Well... That's a deep subject.	"Sagt der Walfisch zum Tuhnfisch: ""Was wollen wir tun, Fisch?"" Sagt der Thunfisch: ""Du hast die Wahl, Fisch!"""
46	Did you hear the story about the cheese that saved the world? It was legend dairy.	Sagt die eine Kerze zur anderen: Du, ist Wasser eigentlich gefährlich? - Sagt die andere: Davon kannst Du ausgehen.
47	Did you watch the new comic book movie? It was very graphic!	Sagt die eine Sicherung zur anderen: Lass uns zusammen durchbrennen!
48	I started a new business making yachts in my attic this year... The sails are going through the roof.	Sagt die eine Wand zur anderen Wand: Wir treffen uns an der Ecke.
49	I got hit in the head by a soda can, but it didn't hurt that much... It was a soft drink.	Sagt die Erbse zur anderen: Vorsicht, da ist eine Trepepepepepepepepe...
50	I can't tell if i like this blender... It keeps giving me mixed results.	Steht ein Baum allein im Wald...
51	I couldn't get a reservation at the library... They were fully booked.	Steht ein Pils im Wald. Kommt ein Hase und trinkt es aus. Und warum steht ein Pils im Wald? Weil die Tannen zapfen.
52	What do you give to a lemon in need? Lemonaid.	Stiftung Warentest hat Besteck getestet. Das Messer hat am besten abgeschnitten.
53	Never take advice from electrons. They are always negative.	Tage an denen man plant, Bananen zu essen, nennt man Bananenplantage.
54	Hey, dad, did you get a haircut? No, I got them all cut.	Tonic ohne Alkohol ist übrigens ginlos.
55	What time is it? I don't know... it keeps changing.	"Treffen sich zwei Magneten: ""Was zieh ich heute bloß an?"""
56	"A weasel walks into a bar. The bartender says, ""Wow, I've never served a weasel before. What can I get for you?"" Pop,goes the weasel."	"Unterhalten sich zwei Fliesenleger: ""Wo sind denn die ganzen Fliesen hin?"" ""Oh, die muss ich wohl verlegt haben."""
